ID,Date,Percent Change
0,2018-12-20,-2.523
1,2018-12-21,-3.89
2,2018-12-24,-2.587
3,2018-12-26,7.042
4,2018-12-27,-0.649
5,2018-12-28,0.051
6,2018-12-31,0.967
7,2019-01-02,0.114
8,2019-01-03,-9.961
9,2019-01-04,4.269
10,2019-01-07,-0.223
11,2019-01-08,1.906
12,2019-01-09,1.698
13,2019-01-10,0.32
14,2019-01-11,-0.982
15,2019-01-14,-1.504
16,2019-01-15,2.047
17,2019-01-16,1.222
18,2019-01-17,0.594
19,2019-01-18,0.616
0,2018-12-20,-2.291
1,2018-12-21,-5.708
2,2018-12-24,-2.431
3,2018-12-26,9.445
4,2018-12-27,-0.63
5,2018-12-28,1.121
6,2018-12-31,1.62
7,2019-01-02,2.474
8,2019-01-03,-2.524
9,2019-01-04,5.006
10,2019-01-07,3.435
11,2019-01-08,1.661
12,2019-01-09,0.171
13,2019-01-10,-0.193
14,2019-01-11,-0.946
15,2019-01-14,-1.423
16,2019-01-15,3.546
17,2019-01-16,0.551
18,2019-01-17,0.561
19,2019-01-18,0.176
0,2018-12-20,-0.289
1,2018-12-21,-3.069
2,2018-12-24,-2.739
3,2018-12-26,6.071
4,2018-12-27,1.078
5,2018-12-28,0.082
6,2018-12-31,1.025
7,2019-01-02,1.299
8,2019-01-03,-1.603
9,2019-01-04,4.153
10,2019-01-07,-0.078
11,2019-01-08,-0.196
12,2019-01-09,0.98
13,2019-01-10,-0.116
14,2019-01-11,1.166
15,2019-01-14,1.306
16,2019-01-15,0.683
17,2019-01-16,7.156
18,2019-01-17,1.898
19,2019-01-18,1.069
0,2018-12-20,-1.414
1,2018-12-21,-0.272
2,2018-12-24,-3.405
3,2018-12-26,2.62
4,2018-12-27,1.304
5,2018-12-28,0.218
6,2018-12-31,1.719
7,2019-01-02,-0.356
8,2019-01-03,0.357
9,2019-01-04,0.249
10,2019-01-07,0.639
11,2019-01-08,2.927
12,2019-01-09,-1.259
13,2019-01-10,0.964
14,2019-01-11,0.729
15,2019-01-14,0.017
16,2019-01-15,0.121
17,2019-01-16,-1.756
18,2019-01-17,-0.438
19,2019-01-18,0.458
0,2018-12-20,-3.038
1,2018-12-21,-0.743
2,2018-12-24,-3.831
3,2018-12-26,4.778
4,2018-12-27,0.437
5,2018-12-28,-1.117
6,2018-12-31,0.029
7,2019-01-02,2.2
8,2019-01-03,-1.535
9,2019-01-04,3.687
10,2019-01-07,0.52
11,2019-01-08,0.727
12,2019-01-09,0.527
13,2019-01-10,-0.511
14,2019-01-11,-0.458
15,2019-01-14,-0.125
16,2019-01-15,0.056
17,2019-01-16,-0.042
18,2019-01-17,0.684
19,2019-01-18,1.192
